iter	Passed	Remaining
1537	2786	837
1538	2788	835
1539	2790	833
1540	2792	831
1541	2795	830
1542	2799	828
1543	2801	827
1544	2803	825
1545	2804	823
1546	2806	821
1547	2808	820
1548	2810	818
1549	2812	816
1550	2813	814
1551	2815	812
1552	2817	810
1553	2818	809
1554	2821	807
1555	2823	805
1556	2824	803
1557	2826	801
1558	2828	800
1559	2830	798
1560	2832	796
1561	2833	794
1562	2835	792
1563	2837	790
1564	2839	789
1565	2841	787
1566	2843	785
1567	2845	783
1568	2846	782
1569	2848	780
1570	2850	778
1571	2852	776
1572	2853	774
1573	2855	772
1574	2857	771
1575	2859	769
1576	2861	767
1577	2862	765
1578	2864	763
1579	2866	761
1580	2868	760
1581	2869	758
1582	2871	756
1583	2873	754
1584	2874	752
1585	2876	750
1586	2879	749
1587	2881	747
1588	2882	745
1589	2884	743
1590	2886	742
1591	2888	740
1592	2890	738
1593	2891	736
1594	2893	734
1595	2896	733
1596	2898	731
1597	2900	729
1598	2901	727
1599	2903	725
1600	2905	724
1601	2907	722
1602	2909	720
1603	2911	718
1604	2913	717
1605	2915	715
1606	2917	713
1607	2919	711
1608	2921	709
1609	2923	708
1610	2925	706
1611	2927	704
1612	2929	702
1613	2931	701
1614	2933	699
1615	2934	697
1616	2936	695
1617	2938	693
1618	2940	692
1619	2943	690
1620	2945	688
1621	2947	686
1622	2949	685
1623	2951	683
1624	2953	681
1625	2955	679
1626	2956	677
1627	2958	676
1628	2960	674
1629	2962	672
1630	2964	670
1631	2966	668
1632	2968	667
1633	2970	665
1634	2972	663
1635	2974	661
1636	2976	659
1637	2978	658
1638	2979	656
1639	2981	654
1640	2983	652
1641	2985	650
1642	2987	649
1643	2989	647
1644	2991	645
1645	2993	643
1646	2995	641
1647	2997	640
1648	2999	638
1649	3000	636
1650	3002	634
1651	3004	632
1652	3006	631
1653	3007	629
1654	3010	627
1655	3011	625
1656	3013	623
1657	3015	622
1658	3017	620
1659	3019	618
1660	3021	616
1661	3022	614
1662	3024	612
1663	3027	611
1664	3028	609
1665	3030	607
1666	3032	605
1667	3034	603
1668	3035	602
1669	3037	600
1670	3039	598
1671	3041	596
1672	3043	594
1673	3045	592
1674	3046	591
1675	3048	589
1676	3050	587
1677	3052	585
1678	3054	583
1679	3055	582
1680	3058	580
1681	3060	578
1682	3062	576
1683	3064	574
1684	3066	573
1685	3068	571
1686	3070	569
1687	3072	567
1688	3074	566
1689	3076	564
1690	3078	562
1691	3079	560
1692	3081	558
1693	3083	556
1694	3084	555
1695	3086	553
1696	3088	551
1697	3089	549
1698	3092	547
1699	3093	545
1700	3095	544
1701	3097	542
1702	3099	540
1703	3102	538
1704	3104	537
1705	3105	535
1706	3107	533
1707	3109	531
1708	3111	529
1709	3112	527
1710	3114	526
1711	3116	524
1712	3117	522
1713	3119	520
1714	3121	518
1715	3123	516
1716	3125	515
1717	3127	513
1718	3129	511
1719	3130	509
1720	3132	507
1721	3134	506
1722	3136	504
1723	3137	502
1724	3139	500
1725	3141	498
1726	3143	496
1727	3145	495
1728	3146	493
1729	3148	491
1730	3151	489
1731	3153	487
1732	3154	486
1733	3156	484
1734	3158	482
1735	3161	480
1736	3163	478
1737	3164	477
1738	3166	475
1739	3168	473
1740	3170	471
1741	3171	469
1742	3173	467
1743	3175	466
1744	3176	464
1745	3178	462
1746	3180	460
1747	3182	458
1748	3183	456
1749	3185	455
1750	3187	453
1751	3188	451
1752	3190	449
1753	3192	447
